path,total_conversions,total_conversion_value,total_null
eta,1,3.465,2
eta,1,7.8,2
eta > iota,1,4.96,3
iota > iota > iota > alpha > alpha > alpha,1,6.29,2
lambda > iota > lambda,1,2.815,3
iota > lambda > lambda > lambda > lambda > lambda > theta > iota > iota > kappa,1,2.716,3
iota > eta > eta,1,1.699,2
iota > iota > alpha > iota,1,1.864,2
beta > alpha,0,0.0,3
beta > eta,1,1.037,2
lambda > alpha > alpha > iota > eta > alpha > iota > eta > alpha > alpha > lambda,2,5.894,9
eta,2,8.388,5
eta,1,4.7,3
beta > alpha > eta > beta,1,4.49,3
lambda > lambda > zeta > theta > eta > zeta > eta,1,0.42200000000000004,3
beta > alpha > beta,1,6.7,3
iota > iota > beta > iota > iota,1,1.9,2
eta,1,3.7,3
iota > iota > iota > iota > iota > iota > alpha,1,3.622,3
beta > beta > zeta > beta > eta > alpha,1,1.181,3
iota > iota > iota > iota > iota > iota > iota > iota > zeta > epsilon > iota > iota > iota > iota,0,0.0,2
beta > eta,1,8.543,2
iota > beta,1,1.252,2
beta > beta > eta > iota,1,3.15,2
eta > alpha > alpha > eta > eta > eta,1,2.734,2
iota > beta > iota > alpha > iota > eta,0,0.0,2
eta,1,12.584000000000001,2
theta > iota > gamma,0,0.0,2
iota > theta > iota,1,1.784,3
iota > iota,2,5.0760000000000005,12
alpha > alpha > beta > beta > beta > alpha > alpha > alpha > alpha > epsilon > alpha > alpha > epsilon > alpha > alpha > alpha > alpha > alpha > epsilon > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha,1,6.0,2
eta > alpha,5,22.4725,20
beta > beta > beta > iota > alpha > theta > beta > iota,1,2.82,3
iota > theta > iota > iota > iota > beta > theta,1,15.975999999999999,2
beta > alpha > kappa > theta,1,11.824000000000002,3
iota > iota > iota > iota > eta,1,5.121,2
theta > theta > zeta > alpha > alpha > theta > theta > theta > alpha > alpha > eta > alpha > theta > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha,0,0.0,2
iota > theta > iota > iota > iota > iota > iota > iota > zeta > iota,1,5.822,2
eta > eta > eta,1,6.45,2
lambda > lambda > eta > lambda,1,1.75,2
eta,1,1.44,2
beta > iota > beta > eta > eta,1,2.5,3
iota > iota > zeta > iota > zeta,1,2.1069999999999998,3
iota > eta > eta > beta > beta > eta > beta > eta > beta > alpha > alpha > alpha > beta > alpha > alpha > alpha > eta,0,0.0,2
alpha > iota > alpha > beta > iota,1,3.3,2
theta > eta > beta > theta,1,5.14,3
iota > beta,0,0.0,2
beta > beta > eta > beta > eta,1,3.8689999999999998,2
eta,1,9.136000000000001,2
beta > eta > beta > eta,0,0.0,2
beta > eta,1,3.34,3
theta > lambda > lambda > lambda > lambda > lambda > lambda > lambda > lambda > lambda > alpha,1,2.66,3
iota > iota > iota > epsilon,1,2.263,2
gamma > iota > beta > beta > theta > kappa > kappa > kappa > kappa,1,2.891,2
eta,1,1.19,2
eta,2,12.339,5
iota > iota > iota > iota > iota > iota > iota > alpha > alpha > iota > alpha,1,7.782,2
beta > eta > beta,3,9.6315,10
eta > eta > theta > iota > iota > iota > alpha > iota > iota > iota > alpha > iota > theta > iota,1,1.953,3
iota > iota > eta,1,3.764,3
beta > eta > alpha > epsilon,1,7.416,3
theta > beta,1,2.338,3
beta > beta > alpha > alpha > eta > eta,1,3.1889999999999996,3
iota > alpha > iota > iota > iota > iota > iota > iota > iota > alpha > iota > lambda > lambda > lambda > lambda > alpha > alpha > iota > lambda > lambda > lambda > lambda > lambda,1,5.02,2
beta > eta > alpha > iota > eta,1,3.344,3
beta > beta > beta > eta > beta > eta > eta,2,4.662,5
iota > beta > iota > beta > beta > iota > beta > iota > beta > eta,1,4.8,2
beta > alpha > beta > beta > alpha > eta,1,2.2,2
beta > beta > eta > beta > eta,2,10.622,6
eta > eta,1,2.0,3
beta > eta > alpha,0,0.0,2
beta > eta,1,2.004,3
theta > beta > beta > beta > iota > iota > iota > iota,1,3.745,2
lambda > lambda > iota > iota > beta > iota > beta > beta > lambda > lambda > lambda,1,5.052,2
iota > zeta > iota > iota > eta > iota > iota > eta,1,11.475,2
eta > iota > iota > iota > beta > eta > eta,0,0.0,3
eta > eta,1,2.6,3
alpha > lambda > kappa,1,4.08,2
iota > iota > eta > alpha > eta > eta > alpha > zeta > zeta > eta > alpha,1,0.915,3
beta > beta > eta > alpha > alpha > alpha > iota,1,4.496,3
eta > eta,1,0.006,2
alpha > eta > alpha,1,1.909,3
eta > alpha > beta > eta,1,1.8,2
lambda > zeta > lambda > lambda > lambda > lambda > alpha,1,2.4730000000000003,2
iota > iota > beta > alpha > alpha > alpha > beta > alpha,1,4.1,3
theta > eta > iota > eta > theta > theta > iota,1,10.214,3
alpha > alpha > alpha > eta > alpha,1,1.75,3
iota > eta > alpha,1,3.023,2
beta > beta > alpha > alpha > beta > beta > alpha > alpha,2,3.6239999999999997,6
alpha > lambda > lambda > lambda > lambda,0,0.0,3
lambda > beta > lambda,1,1.53,2
eta,1,2.234,3
beta > beta > beta > eta > beta > eta > eta,1,11.748,2
beta > beta > beta > beta > beta > eta,1,4.25,2
beta,1,9.344,3
epsilon > iota > lambda > kappa > lambda,0,0.0,2
iota > iota > iota > iota,3,11.907,11
beta > beta > beta > beta > beta > beta > beta > beta > alpha,1,2.734,2
eta,1,7.3,3
beta > eta > beta > beta > beta > beta > beta > zeta > alpha,1,1.403,3
beta > beta > beta > beta > eta,1,3.5060000000000002,2
iota > alpha > alpha > alpha > alpha > iota > alpha,1,9.596,2
beta > beta > eta,1,2.657,3
beta,1,8.51,3
alpha > theta > alpha > eta > alpha > epsilon > eta,1,4.181,2
eta > iota > iota,1,1.85,3
theta > theta > alpha > theta > theta > alpha > alpha > theta > theta > theta > alpha > theta > theta,1,2.13,2
eta > eta > alpha > alpha > alpha > epsilon > eta,1,2.004,3
iota > iota > zeta > alpha > alpha > zeta,1,1.9909999999999999,3
lambda > iota > eta,1,3.865,3
iota > iota > iota > alpha > alpha > iota > iota > iota,1,3.3,3
iota > beta > eta > eta,1,3.043,3
gamma > alpha > theta > alpha,1,2.392,2
beta > beta > beta > beta > eta > beta > eta > beta > eta > beta > eta,1,6.865,2
beta > iota,4,11.2832,17
iota > iota > iota > eta > iota > eta > iota > theta > iota > eta > iota > kappa > iota > theta > theta,1,3.03,3
eta > eta > eta > alpha > eta,1,0.5,3
beta > beta > beta,1,3.9,3
eta > alpha > eta > eta > eta,1,3.6010000000000004,2
eta > alpha,1,1.399,3
beta > beta > alpha > iota > eta,1,2.217,3
beta > eta > beta > alpha > alpha > eta > alpha,1,9.243,2
beta > iota > alpha > iota,1,2.5669999999999997,2
beta > eta > gamma > theta > alpha,1,16.621,3
iota > theta > beta > beta > iota > theta,1,9.027999999999999,2
iota > iota > iota > iota,1,3.932,3
beta > eta,3,10.357999999999999,9
eta > theta > iota > theta > iota > theta > iota > alpha,1,2.0,3
iota > lambda > alpha > zeta > alpha > zeta > alpha > alpha > iota > alpha > zeta > beta > beta > lambda > lambda > iota > alpha > theta > iota > zeta > alpha > alpha > eta,1,2.3,2
iota > iota > eta > beta > eta > eta > iota,1,1.653,3
beta > eta > alpha,1,3.387,2
iota > eta,1,7.7589999999999995,2
alpha > alpha > alpha > alpha > zeta > alpha > alpha > alpha,2,5.682,5
eta,1,2.289,6
iota > iota > theta > iota > theta > iota > iota > theta > eta > eta > eta > theta > iota > eta > eta > eta > eta > theta,1,1.8,3
iota > eta > lambda,1,5.832000000000001,3
eta > eta > alpha > beta > eta,1,4.489,2
eta > eta > alpha > eta,1,40.08,3
eta,9,34.68825,41
iota > beta > epsilon,0,0.0,3
theta > alpha > iota > theta > iota > iota > theta > iota,1,1.534,2
alpha > alpha > alpha > alpha > alpha > theta > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > lambda > epsilon > alpha > lambda > epsilon > alpha > iota > iota > iota > iota > iota > iota > alpha > iota > alpha > iota > iota > alpha > theta > alpha > theta > theta > theta > alpha > alpha,1,2.3,2
iota > zeta > alpha > zeta > iota > zeta,1,5.976,3
beta > eta > beta > eta,1,12.132,3
eta > eta > theta,1,6.218999999999999,3
beta > eta > beta > eta > eta > eta,1,9.635,2
beta > epsilon > epsilon > lambda > theta,1,2.08,3
iota > beta,1,5.037,3
beta > beta > beta > beta > beta > beta > beta > eta,1,7.5,2
theta > alpha > alpha > eta,1,3.48,3
iota > theta > theta > iota > theta > eta > iota > eta > eta > iota > theta > kappa,1,5.938,2
iota > iota > iota > lambda,1,3.0,3
theta > lambda > alpha > alpha > iota,1,2.09,3
theta > beta > theta > beta > theta,0,0.0,3
eta,2,7.667000000000001,5
eta > lambda > alpha,0,0.0,3
theta > eta > theta > alpha,1,3.861,2
iota > iota > iota > alpha > alpha > alpha > lambda,1,5.72,2
beta,1,2.2359999999999998,2
eta > eta,0,0.0,2
theta > zeta > lambda > zeta > epsilon > epsilon,1,2.418,2
eta > lambda > alpha > epsilon,0,0.0,2
beta > alpha > eta,2,10.366,6
iota > alpha > zeta > iota > zeta > zeta > iota > iota > eta > iota > eta > epsilon,1,2.13,2
lambda > kappa > lambda > lambda > kappa > lambda > alpha > alpha,1,2.861,2
beta > alpha > eta > beta > beta > theta,1,6.042999999999999,3
iota > theta > eta,0,0.0,2
theta > eta,3,6.166,8
eta,1,3.178,3
iota > eta,1,6.811,3
beta > beta > iota,0,0.0,2
eta > iota > eta > alpha > theta > eta,1,3.6639999999999997,2
eta,0,0.0,3
kappa > kappa > kappa > iota,1,2.35,2
beta > beta > iota > epsilon > epsilon,0,0.0,2
theta > zeta > epsilon > theta > epsilon,0,0.0,2
eta > eta,1,1.725,3
epsilon > beta,0,0.0,3
iota > beta > alpha > beta > beta,0,0.0,3
eta,3,2.734,8
eta > eta,1,5.334,3
theta > beta > theta,1,6.861000000000001,3
beta > iota,1,4.584,2
theta > beta > beta > beta > eta > beta > alpha > alpha,1,3.614,3
beta > alpha > eta,1,4.298,3
iota > iota,11,42.5190526315789,64
alpha > iota > iota > iota > lambda > alpha > beta,1,0.8,2
beta > beta > eta > beta > eta,0,0.0,3
iota > iota > iota > iota > iota > zeta > iota,0,0.0,3
iota > eta,1,1.839,3
iota > eta > iota > iota > iota > iota > iota > mi > iota,2,7.276,5
beta > beta > beta > eta,1,3.1519999999999997,2
eta,2,13.95,5
eta > iota > alpha > eta > eta,1,9.521,3
iota > theta > alpha > iota > theta,1,4.0,2
beta > beta > beta > eta,1,3.49,3
iota > iota > iota > iota > eta,1,2.425,3
eta,0,0.0,6
iota > iota > alpha > iota > iota > iota,3,13.960999999999999,9
iota > iota > beta > alpha > iota > beta > eta,1,5.85,2
beta > beta > alpha > eta > beta > eta,0,0.0,2
iota > beta > beta > iota > theta,1,7.102,3
beta > beta > eta > epsilon,0,0.0,2
beta > beta,1,2.84,2
theta > alpha > alpha > alpha > alpha > theta > theta > theta > theta > alpha > alpha > alpha > alpha > alpha > theta,1,1.9869999999999999,3
iota > eta,1,1.9,2
eta,41,96.72846153846149,135
beta > beta > beta > eta > eta > eta > beta > beta > eta > beta > beta > eta > beta > beta > eta > beta > beta > beta > beta > eta > eta > eta > beta > beta > beta > beta > alpha > beta > eta > eta > beta > epsilon > beta > beta > alpha > beta > beta > eta,1,1.911,2
theta > kappa > alpha > epsilon > theta > kappa,1,3.543,3
beta > kappa > theta,2,8.0,5
beta > iota,1,4.75,3
beta > theta > beta > beta > iota > iota > beta > iota > iota,1,3.12,2
beta > beta > iota > alpha > alpha,0,0.0,2
iota > lambda > iota > iota,1,5.877999999999999,2
iota > alpha > epsilon > eta > iota > iota > iota,1,3.9,2
lambda > iota > lambda > iota > iota > eta > iota > lambda > iota > eta > eta,1,5.434,2
eta,1,4.16,2
beta,1,2.76,2
eta > kappa,1,2.3,3
beta > beta > alpha > eta > beta > eta > beta > eta > beta > eta,1,14.911,2
iota > iota > iota > beta > iota > iota > iota > iota > iota,0,0.0,2
beta > beta > beta > beta > beta > beta > eta > beta > eta > eta > epsilon > eta,1,0.353,2
kappa > beta,1,8.252,2
iota > iota > iota > iota > iota > iota,0,0.0,3
iota > iota > theta > zeta > zeta > iota,0,0.0,3
eta > eta > eta > eta > eta > eta,1,2.15,2
beta > theta > eta,1,2.623,2
alpha > alpha > eta > kappa,1,2.8089999999999997,3
theta > alpha > alpha > alpha > iota > theta > iota > iota,1,1.369,3
lambda > lambda > iota > epsilon > lambda > lambda,2,4.886,5
iota > iota > iota > iota > iota > iota > iota > iota > lambda,1,12.3,3
alpha > iota > beta > iota > beta > alpha,1,2.326,2
iota > iota > theta > iota > iota > iota > iota > iota > lambda,2,5.952999999999999,5
iota > iota > zeta > theta > iota > iota > beta > theta > eta > iota > eta > theta > iota > eta > alpha > alpha > iota > iota,1,4.247,2
eta > iota,0,0.0,2
iota > iota > iota > eta > eta > theta > beta > theta > iota > theta > alpha > epsilon,1,1.9040000000000001,2
beta > theta > theta > zeta > iota > epsilon > zeta > epsilon > iota > iota > eta > eta,0,0.0,3
iota > iota > iota > iota > iota > iota > iota > theta > iota > iota > alpha > alpha > iota > alpha > alpha > alpha,1,27.232,2
iota > alpha > iota > beta > alpha > iota,1,5.361000000000001,3
eta > epsilon > eta > epsilon > alpha > iota,1,6.345,2
kappa > alpha > iota,1,1.614,3
lambda > lambda > lambda > lambda > beta > lambda > theta > lambda > lambda,1,25.246,3
beta > iota > iota > alpha,1,4.936,2
eta > epsilon > lambda > eta,1,2.099,3
theta > beta > beta > beta > eta,1,2.5340000000000003,2
iota > iota > iota > iota > eta > lambda,1,3.4760000000000004,3
eta > alpha > beta > eta > iota,1,6.602,3
iota > iota > iota > iota > iota > iota > iota,1,4.07,3
iota > alpha > iota > iota > iota > iota > iota > iota > iota > iota > theta > iota,0,0.0,3
beta > iota > iota > iota,1,4.1080000000000005,2
beta > beta > beta > theta > alpha,1,4.279,2
theta > eta,1,8.6,2
lambda > lambda > lambda > lambda > lambda > lambda > lambda > eta > lambda > kappa > lambda > lambda > kappa > lambda > kappa > lambda > zeta > kappa > lambda > kappa > lambda > kappa > lambda > lambda > kappa > lambda > lambda > lambda > kappa > lambda > kappa > lambda > lambda > eta,1,7.7170000000000005,3
eta > theta > eta,0,0.0,2
beta > iota > iota > beta > beta > alpha > theta > iota > alpha,1,2.75,3
beta > iota > beta > beta > eta,0,0.0,2
beta > beta > iota,1,0.6,2
beta > beta > beta > beta > beta,0,0.0,2
theta > iota > iota > eta,1,6.58,2
gamma > eta,1,2.295,3
lambda > iota > iota > lambda > zeta > lambda,1,4.0,2
iota > iota,1,11.989,2
iota > iota > iota > iota > alpha > iota > alpha > iota > alpha,1,1.6480000000000001,3
beta > eta,1,1.55,2
beta > beta > eta,1,3.8,3
eta > kappa > alpha,1,2.244,3
alpha > iota > eta,0,0.0,2
iota > eta > iota > lambda > lambda > epsilon,1,8.035,3
theta > theta > alpha > alpha > theta > alpha > alpha > iota > alpha > epsilon,1,3.3,2
beta,0,0.0,3
iota > alpha,1,97.29,6
eta > beta > eta > iota > eta,0,0.0,3
iota > beta > beta > beta > beta > beta > beta > beta > beta > beta > beta > beta > eta > beta,0,0.0,2
beta > theta > eta,1,1.2,3
eta > eta,1,3.948,3
alpha > alpha > alpha > alpha > alpha > epsilon > alpha > alpha > alpha > alpha > alpha > alpha,1,7.71,2
iota > theta > beta > beta > beta > eta > iota > iota > beta > eta > epsilon,1,1.599,3
beta > iota > iota > eta,1,19.021,3
iota > iota > alpha > iota > lambda,0,0.0,3
iota > iota > eta,1,7.617999999999999,3
eta > eta > eta,0,0.0,2
eta > alpha,2,2.239,6
eta,6,37.278,18
iota > iota > iota > iota > iota > eta > beta,1,0.9,3
beta > iota > eta > iota,1,4.298,3
iota > eta > alpha,1,2.49,2
iota > kappa > iota > kappa > iota > iota > beta > kappa > iota > eta > theta > kappa > eta > kappa > theta > beta > eta > alpha,1,0.9670000000000001,3
iota > beta > beta,1,1.3753333333333302,9
eta > eta > eta > eta,0,0.0,2
iota > iota > iota,1,2.301,3
eta > theta > alpha,4,11.6792,13
beta > beta > beta > iota > lambda,0,0.0,2
alpha > iota > lambda,1,2.43,2
lambda > theta > alpha > kappa,1,4.925,6
eta > alpha,1,1.3769999999999998,3
beta > iota > alpha > beta > theta,1,3.252,5
iota > iota > eta > eta > eta > eta > theta > beta > theta > epsilon,1,24.572,2
iota > iota > iota > iota > iota > iota > eta,1,0.6,3
epsilon > alpha > alpha > alpha > alpha,1,1.72,2
beta > eta > beta > beta > beta > beta > eta > theta,1,7.855,3
beta > iota,1,2.911,3
iota > lambda > alpha,1,3.42,3
beta > theta > epsilon,0,0.0,3
iota > iota > iota > iota > alpha > iota > iota > alpha > iota,2,2.8280000000000003,9
eta > kappa,0,0.0,2
iota > beta > eta,1,0.1,2
theta > lambda > theta > theta > alpha > theta > theta,2,3.5469999999999997,6
eta > eta,1,5.227,2
iota > alpha > theta > beta > beta,0,0.0,3
gamma > beta > alpha > eta > alpha > epsilon > alpha > epsilon,1,4.329,3
beta > beta > eta,1,5.25,3
beta > iota > iota > alpha,1,5.0760000000000005,3
beta > eta > eta,1,3.06,3
beta > beta > eta,1,1.984,3
beta > theta,2,7.055,6
eta > theta > eta > eta,1,2.062,3
iota > zeta > lambda > lambda > iota > kappa,1,3.7760000000000002,3
iota > eta > eta > beta > beta > eta > eta,1,2.9,3
eta,1,3.188,2
eta > eta,3,5.691,11
eta > iota > eta,1,10.943,3
eta > beta > beta > iota > beta > eta > iota > beta > beta > beta > iota > iota > beta > eta > beta > iota > iota > lambda,1,7.08,2
beta > iota > iota,1,3.818,3
theta > theta > alpha > alpha > alpha > alpha > alpha > theta > theta > alpha > theta > theta,1,2.295,2
eta > iota,1,2.16,3
beta > eta > alpha > eta > beta > iota,1,5.478,3
iota > iota > epsilon > iota,0,0.0,3
eta > eta > eta > eta,0,0.0,3
eta,0,0.0,2
beta > eta > beta > iota > eta > iota > beta > eta > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota > iota,1,2.436,5
iota > iota > iota > zeta > iota,1,2.86,3
theta > theta > eta > eta > theta > zeta > alpha,1,1.6,3
iota > iota > iota > eta,0,0.0,2
beta > gamma > alpha > gamma > theta > epsilon,1,2.78,2
eta > eta > eta > theta > epsilon,1,5.268,3
iota > iota > iota > eta > eta > iota > eta,1,2.465,3
beta > eta,1,1.5,3
iota > eta > iota,1,2.745,2
kappa > iota > iota > lambda > iota,1,2.406,3
alpha > iota > eta > eta > alpha > epsilon,1,1.665,2
iota > beta > eta,1,2.655,3
lambda > lambda > iota > iota > iota > alpha > alpha,1,3.065,2
beta > iota > beta > iota > theta,1,6.489,3
beta,1,7.65,3
iota > beta > eta > alpha,1,2.443,3
iota > eta > eta,0,0.0,3
theta > iota > theta > theta > alpha,1,5.796,3
theta > lambda > theta > eta,1,2.291,2
beta > beta > beta > eta > beta > beta > eta,1,2.855,3
beta > beta > beta > beta > beta > eta,0,0.0,3
beta > beta > beta,1,12.372,2
lambda > lambda > lambda > zeta > lambda > lambda > lambda,1,1.7,2
beta > alpha > eta > beta > beta > epsilon > beta > beta > eta,1,2.537,2
iota > iota,1,10.644,3
beta > iota > beta > iota,1,4.117,3
iota > iota > epsilon > theta > lambda,1,1.51,2
theta > beta > beta > eta,1,3.199,3
eta > alpha > alpha > eta > eta > theta > eta > theta > lambda > theta > eta > theta > eta > theta,0,0.0,2
beta > eta > iota > iota > alpha > alpha,1,1.33,3
beta > iota > beta > iota,1,5.0,2
iota > iota > iota > iota > iota > theta > alpha,4,12.0688,12
eta > alpha > iota > iota > iota > iota > alpha > beta > beta > eta,0,0.0,3
eta > alpha > alpha > alpha > alpha,1,6.23,2
lambda > eta > epsilon > epsilon > eta,1,6.4239999999999995,3
iota > iota > iota > iota > iota > beta > eta > alpha,1,5.417000000000001,2
iota > alpha > alpha > alpha > alpha > alpha > lambda > iota > iota > alpha > lambda > alpha > lambda > alpha > alpha > alpha > alpha > alpha > alpha > alpha > lambda,1,3.792,3
iota > beta > lambda > lambda > eta,1,8.023,3
alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > iota > alpha > kappa > iota > iota > iota > alpha > iota > alpha > iota,0,0.0,2
beta > beta > iota > theta > iota > iota > theta,1,11.165999999999999,2
beta,1,1.128,2
iota > iota > iota > iota > beta > theta > alpha > alpha > alpha > alpha > alpha,0,0.0,3
iota > beta > iota > beta > iota,1,6.2,2
iota > iota > iota > iota > iota > iota > alpha > iota > epsilon > epsilon > epsilon > epsilon > iota > epsilon > epsilon,0,0.0,3
eta,2,6.665,5
beta > iota > iota > iota > beta,1,5.0,2
gamma > eta,1,2.017,2
eta > beta > iota > iota > eta > beta > eta > eta > iota > iota > epsilon,1,3.7,2
iota > alpha > iota > iota > iota > iota > iota > iota > theta > iota,1,3.884,2
iota > iota > iota > zeta > iota > iota > zeta > iota > beta > beta > beta > beta > beta > beta > iota > iota > beta > iota > iota > iota > theta,1,10.15,2
beta > beta > beta > alpha > eta > beta > eta,1,3.0410000000000004,3
iota > iota > eta > alpha > iota > iota,1,5.649,3
kappa > iota > alpha > alpha > iota > theta > alpha > iota > theta > beta > iota > iota > theta > iota,1,4.819,3
lambda > iota > theta,1,1.99,2
theta > iota > iota > theta > iota > eta > eta > eta > eta > eta > eta > eta > eta,1,3.8,3
theta > iota > theta > theta > theta > alpha > theta > theta > beta > theta > beta > theta > theta > beta > theta > theta > alpha,1,4.0,3
eta,1,8.217,2
iota > eta > lambda > epsilon > alpha > alpha > eta > alpha,1,4.331,2
iota > iota > iota > iota > iota,1,3.61,2
theta > iota > theta > iota > iota > iota,1,4.246,3
iota > iota > iota > beta > beta > iota > iota > iota > iota,1,5.291,2
iota > beta > beta > beta > beta > beta > theta > eta,1,2.0,3
alpha > lambda > alpha > alpha > alpha > theta,2,4.052,5
beta > beta > beta > eta > beta > beta,1,2.542,3
iota > eta > alpha,1,2.68,2
beta > beta > eta > beta > eta,1,4.271,2
iota > beta > iota > iota > iota > iota > iota > alpha > iota > theta > kappa,1,3.85,3
alpha > theta > eta > eta > theta,1,1.607,2
iota > iota > iota > iota > iota > alpha > epsilon > iota > alpha > epsilon,0,0.0,3
beta > iota > alpha,1,2.281,3
eta > alpha,5,21.3883333333333,15
alpha > eta,0,0.0,3
eta > gamma,0,0.0,2
iota > beta > eta,1,2.787,2
beta > beta > eta > lambda,1,7.04,2
eta,5,6.673125,23
iota > beta > alpha > alpha > alpha,1,4.652,2
iota > lambda > lambda > lambda > lambda > theta > alpha > kappa > theta,1,3.7030000000000003,2
theta > iota > iota > iota > iota,1,5.0,2
iota > gamma > iota > iota > iota > theta > iota > iota > iota,1,8.172,2
iota > iota > iota > alpha > kappa,1,1.325,2
iota > lambda,10,46.1428571428571,42
iota > iota > beta > beta > alpha > iota,0,0.0,2
lambda > iota > lambda > lambda > iota > alpha > lambda > iota > lambda > iota > epsilon > lambda > lambda > lambda,0,0.0,2
beta > eta > eta,1,4.2,3
theta > alpha > iota,85,345.785560747664,372
beta > theta > beta > theta > alpha,1,5.007,3
theta > beta > alpha > eta > beta > eta > epsilon,1,1.4,2
iota > iota > iota > lambda,1,12.49,3
theta > iota > alpha,7,24.956999999999997,19
iota > iota > beta > beta > theta > beta,1,2.02,3
alpha > alpha > alpha > eta,1,3.16,2
beta > beta > beta > eta > beta > eta > beta > eta,1,4.45,2
eta,0,0.0,2
beta > eta > beta > eta,0,0.0,2
iota > iota > iota > zeta > zeta > iota > iota > iota > iota,1,4.34,2
beta > iota,1,10.546,3
iota > zeta > iota > iota > alpha > iota,1,1.6269999999999998,3
eta,1,14.829,6
beta > beta > eta > beta > eta > iota > beta > epsilon > iota > beta > beta > eta > beta > beta > eta > zeta > beta > beta > beta > beta > beta > beta > beta > eta > beta > eta,1,2.168,3
eta > eta > eta > alpha > eta,1,5.166,3
iota > iota > alpha > alpha > iota > alpha,2,8.49266666666667,10
iota > beta > iota > iota > kappa > alpha,1,2.72,3
alpha > alpha > beta > beta > alpha > zeta > theta > theta > theta > alpha > iota > alpha > alpha > alpha > alpha,1,1.511,3
iota > iota > theta > iota,0,0.0,2
eta > zeta > beta,1,6.147,2
eta,5,24.171,13
iota > iota > theta > iota > theta > iota > iota > iota > iota > iota > lambda > iota > theta,1,1.42,3
eta,1,2.968,3
beta > eta > alpha,1,5.191,2
beta > beta > beta > eta,1,1.801,3
beta > theta > iota,1,9.386000000000001,2
iota > iota > iota > eta,0,0.0,2
theta > theta > beta > eta > beta > theta > alpha > theta > alpha > theta > theta,1,3.6,3
alpha > iota > iota > zeta > iota,0,0.0,3
iota > iota > theta,1,6.9,2
beta > eta,5,91.1008333333333,16
eta > epsilon,1,3.05,3
beta > beta > theta,1,2.197,3
alpha > lambda > epsilon,2,12.921333333333301,7
beta > iota,1,4.721,3
beta > iota > lambda > kappa > alpha,1,8.486,3
theta > epsilon > eta > epsilon > alpha > epsilon > alpha > eta,1,8.95,2
lambda > eta > beta > lambda,1,6.57,2
lambda > lambda > lambda > lambda > iota > lambda > lambda > lambda > lambda > lambda > zeta > lambda > lambda > lambda > lambda > lambda > lambda > lambda > lambda > lambda > lambda > lambda > iota > lambda > lambda > alpha > lambda > lambda > lambda > zeta > lambda > lambda > lambda > lambda > lambda > lambda,1,14.937000000000001,3
eta > iota > lambda,1,3.4160000000000004,3
lambda > alpha > lambda > alpha > theta > lambda > lambda > lambda > theta > lambda > lambda > lambda > alpha > theta > lambda,1,20.718000000000004,3
alpha > alpha > alpha > iota,1,2.315,3
iota > iota > theta > iota > iota > iota > theta > theta > theta,3,7.432,7
beta > beta > iota > eta,1,3.1180000000000003,2
alpha > alpha > alpha > alpha > alpha > zeta > alpha > zeta > alpha > zeta > zeta > zeta > zeta > beta > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > beta > alpha > iota > beta > alpha > alpha > beta > beta > beta > beta > alpha > alpha,1,3.572,2
epsilon > eta,1,14.565999999999999,2
beta > beta,0,0.0,2
eta,1,8.6,2
iota > alpha > alpha > theta > alpha > alpha > theta > alpha > alpha > alpha > theta > alpha,1,3.778,3
theta > eta > beta > beta > beta > beta > theta > eta > theta > alpha > alpha > eta > theta,1,1.55,3
iota > zeta > zeta > zeta > lambda > alpha > theta > eta > lambda > alpha > theta > lambda > lambda > epsilon > lambda,1,2.65,2
eta > alpha > theta,0,0.0,3
beta > eta > epsilon > beta > epsilon > iota,1,3.8,3
gamma > eta,1,1.82,3
alpha > eta > alpha,1,4.52,3
theta > eta > theta > alpha > beta > eta > eta > theta > theta,1,4.6,3
iota > alpha > zeta > iota > iota > alpha,1,2.165,3
beta > beta > beta > beta > beta > beta > beta > beta > beta > eta > beta > eta > beta > eta > beta > eta,1,7.276,3
alpha > theta > theta > iota > alpha > alpha > lambda > epsilon > theta > alpha > lambda > alpha > alpha > iota > alpha,1,7.356,2
beta,1,0.675,5
beta > theta > alpha,1,1.3769999999999998,2
theta > eta,1,10.6,2
theta > lambda > lambda > iota > lambda,1,3.45,3
iota > eta > iota > alpha,0,0.0,3
eta > eta > eta,1,8.07,3
iota > lambda > lambda > beta > lambda > eta > lambda > alpha > lambda,1,5.2,2
beta > eta > beta > beta > beta,0,0.0,3
eta > kappa,1,1.6,2
beta > iota > epsilon > beta > eta > iota,1,0.67,3
iota > theta > iota > iota > iota > iota > iota > iota > theta > iota > theta,1,2.9339999999999997,2
beta > iota > beta > beta > theta > beta > eta,1,6.986000000000001,2
lambda > beta > lambda,1,4.192,2
eta,10,35.879166666666706,32
iota > beta > iota > lambda > delta > lambda > kappa > theta > kappa > beta > eta > beta > eta > beta > iota > iota > eta > beta,0,0.0,2
iota > alpha > theta > theta > alpha > iota > alpha > alpha,1,3.5,3
